customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0001,Male,0,Yes,No,23,Yes,No,DSL,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,51.86,1190.0,Yes
CUST-0002,Female,0,No,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,108.43,2809.92,No
CUST-0003,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,No,Electronic check,86.64,3563.65,No
CUST-0004,Female,0,No,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,103.85,4987.72,No
CUST-0005,Male,1,No,Yes,29,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,95.15,2765.72,Yes
CUST-0006,Male,0,No,No,18,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,22.48,394.76,No
CUST-0007,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.71,190.23,Yes
CUST-0008,Female,1,No,No,31,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,31.37,972.07,No
CUST-0009,Male,0,No,Yes,43,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,91.73,3953.98,No
CUST-0010,Male,0,Yes,No,47,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),29.71,1397.19,No
CUST-0011,Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,93.52,1010.05,Yes
CUST-0012,Female,0,No,No,15,Yes,No,DSL,No,No,No,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),38.67,594.75,No
CUST-0013,Male,0,No,No,38,Yes,Yes,DSL,No,No,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),40.24,1511.57,No
CUST-0014,Female,0,Yes,No,23,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,26.8,634.71,Yes
CUST-0015,Male,0,Yes,Yes,12,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),21.59,240.13,No
CUST-0016,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.72,2042.14,No
CUST-0017,Female,1,No,No,5,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,96.2,464.29,Yes
CUST-0018,Female,0,No,Yes,30,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,36.19,1102.07,Yes
CUST-0019,Female,1,No,Yes,9,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),62.7,562.84,Yes
CUST-0020,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),59.93,2023.24,Yes
CUST-0021,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,85.35,2810.31,No
